АВС/ DEF;От;До;Емкость;Оператор;Регион
911;0400000;0449999;50000;ПАО "Мобильные ТелеСистемы";Новгородская обл.
911;0450000;0499999;50000;ПАО "Мобильные ТелеСистемы";Вологодская обл.
911;0500000;0549999;50000;ПАО "Мобильные ТелеСистемы";Республика Карелия
911;0550000;0599999;50000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;0600000;0649999;50000;ПАО "Мобильные ТелеСистемы";Мурманская обл.
911;0650000;0699999;50000;ПАО "Мобильные ТелеСистемы";Ненецкий АО
911;0700000;0749999;50000;ПАО "Мобильные ТелеСистемы";Калининградская обл.
911;0750000;0799999;50000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;0800000;2999999;2200000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область
911;3000000;3499999;500000;ПАО "Мобильные ТелеСистемы";Мурманская обл.
911;3500000;3999999;500000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;4000000;4399999;400000;ПАО "Мобильные ТелеСистемы";Республика Карелия
911;4400000;4499999;100000;ПАО "Мобильные ТелеСистемы";Вологодская обл.
911;4500000;4999999;500000;ПАО "Мобильные ТелеСистемы";Калининградская обл.
911;5000000;5499999;500000;ПАО "Мобильные ТелеСистемы";Вологодская обл.
911;5500000;5999999;500000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;6000000;6499999;500000;ПАО "Мобильные ТелеСистемы";Новгородская обл.
911;6500000;6549999;50000;ПАО "Мобильные ТелеСистемы";Ненецкий АО
911;6550000;6599999;50000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;6600000;6699999;100000;ПАО "Мобильные ТелеСистемы";Республика Карелия
911;6700000;6899999;200000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;6900000;6999999;100000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;7000000;7999999;1000000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область
911;8000000;8099999;100000;ПАО "Мобильные ТелеСистемы";Мурманская обл.
911;8100000;8499999;400000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область
911;8500000;8699999;200000;ПАО "Мобильные ТелеСистемы";Калининградская обл.
911;8700000;8799999;100000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;8800000;8999999;200000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;9000000;9999999;1000000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область
912;0000000;0009999;10000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;0010000;0029999;20000;ПАО "Ростелеком";Республика Коми
912;0030000;0079999;50000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;0080000;0099999;20000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;0100000;0299999;200000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;0300000;0529999;230000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;0530000;0559999;30000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;0560000;0589999;30000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;0590000;0619999;30000;ПАО "Мобильные ТелеСистемы";Пермский край
912;0620000;0649999;30000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;0650000;0679999;30000;ПАО "Мобильные ТелеСистемы";Оренбургская обл.
912;0680000;0709999;30000;ПАО "Мобильные ТелеСистемы";Пермский край
912;0710000;0739999;30000;ПАО "Мобильные ТелеСистемы";Ямало-Ненецкий АО
912;0740000;0749999;10000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;0750000;0750999;1000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;0751000;0755999;5000;ПАО "Мобильные ТелеСистемы";Пермский край
912;0756000;0757999;2000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;0758000;0759999;2000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;0760000;0761999;2000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;0762000;0766999;5000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;0770000;0799999;30000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;0800000;0809999;10000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;0810000;0859999;50000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;0860000;0899999;40000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;0930000;0939999;10000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;0940000;0959999;20000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;1000000;1999999;1000000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;2000000;2999999;1000000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;3000000;3299999;300000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;3300000;3399999;100000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;3400000;3599999;200000;ПАО "Мобильные ТелеСистемы";Оренбургская обл.
912;3600000;3799999;200000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;3800000;3999999;200000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;4000000;4099999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;4100000;4199999;100000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
